,object_id,time,date,confirmed,new_infections,new_deaths,population,incidence
6,Hong Kong,1580256000,2020-01-29,10.0,2.0,0.0,7510000,1331
7,Hong Kong,1580342400,2020-01-30,10.0,0.0,0.0,7510000,1065
8,Hong Kong,1580428800,2020-01-31,12.0,2.0,0.0,7510000,1331
9,Hong Kong,1580515200,2020-02-01,13.0,1.0,0.0,7510000,1065
10,Hong Kong,1580601600,2020-02-02,15.0,2.0,0.0,7510000,932
11,Hong Kong,1580688000,2020-02-03,15.0,0.0,0.0,7510000,932
12,Hong Kong,1580774400,2020-02-04,17.0,2.0,1.0,7510000,1198
13,Hong Kong,1580860800,2020-02-05,21.0,4.0,0.0,7510000,1464
14,Hong Kong,1580947200,2020-02-06,24.0,3.0,0.0,7510000,1864
15,Hong Kong,1581033600,2020-02-07,25.0,1.0,0.0,7510000,1731
16,Hong Kong,1581120000,2020-02-08,26.0,1.0,0.0,7510000,1731
17,Hong Kong,1581206400,2020-02-09,29.0,3.0,0.0,7510000,1864
18,Hong Kong,1581292800,2020-02-10,38.0,9.0,0.0,7510000,3062
19,Hong Kong,1581379200,2020-02-11,49.0,11.0,0.0,7510000,4260
20,Hong Kong,1581465600,2020-02-12,50.0,1.0,0.0,7510000,3861
21,Hong Kong,1581552000,2020-02-13,53.0,3.0,0.0,7510000,3861
22,Hong Kong,1581638400,2020-02-14,56.0,3.0,0.0,7510000,4127
23,Hong Kong,1581724800,2020-02-15,56.0,0.0,0.0,7510000,3994
24,Hong Kong,1581811200,2020-02-16,57.0,1.0,0.0,7510000,3728
25,Hong Kong,1581897600,2020-02-17,60.0,3.0,0.0,7510000,2929
26,Hong Kong,1581984000,2020-02-18,62.0,2.0,0.0,7510000,1731
27,Hong Kong,1582070400,2020-02-19,63.0,1.0,1.0,7510000,1731
28,Hong Kong,1582156800,2020-02-20,68.0,5.0,0.0,7510000,1997
29,Hong Kong,1582243200,2020-02-21,68.0,0.0,0.0,7510000,1597
30,Hong Kong,1582329600,2020-02-22,69.0,1.0,0.0,7510000,1731
